issuekey;doc_clean;storypoint_label
XD-1132;As a Spring XD user I need to listen on a JMS Topic and ingest the messages so I can process the messages.    Currently the module only allows for Queues;2
XD-1695;As a user I'd like to have the option to provide security configurations so that I can access REST endpoints in a secured manner.     Ideally all the listed [REST|https://github.com/spring-projects/spring-xd/wiki/REST-API#xd-resources] endpoints needs to be wrapped within a security layer.     *Scope of this spike:*    * Research Spring Security and Spring Boot and the OOTB features   * Design considerations and approach for XD  * Developer experience  ** How users will be configuring security credentials?  ** How DSL shell will be handled?  ** How Admin UI will be handled?;5
XD-1746;As a developer I'd like to have an OOTB MVC-aware HTTP module (with embedded tomcat) so I can use this module to leverage spring-mvc and spring-security features instead of rewriting them within the existing HTTP source module.   * Adds richer support for content-type in the HTTP Source module. See [~jbrisbin] comments: https://github.com/spring-projects/spring-xd/pull/879.  * Adds full header mapping in the source (see comments)  * See SO request: http://stackoverflow.com/questions/29353471/spring-xd-as-a-rest-endpoint;5
XD-1864;"As a user I'd like to have _paging_ support so that I can scroll through the list of streams jobs and containers.     Currently the following error is thrown when we cross >20 rows:    http://localhost:9393/jobs/definitions.json    JSON Response:  {code:xml}  [  	{  		links: [ ]  		logref: ""IllegalStateException""  		message: ""Not all instances were looked at""  	}  ]  {code}    Stack trace:  {code}  15:51:21931 ERROR http-nio-9393-exec-9 rest.RestControllerAdvice - Caught exception while handling a request  java.lang.IllegalStateException: Not all instances were looked at    org.springframework.util.Assert.state(Assert.java:385)  {code}";4
XD-1906;As a minimum we need some common polling strategy on the client side to detect status changes of job + streams etc. (E.g. during deployment of streams/jobs)    Ideally I would like to have this addressed on the server-side as well. It would be nice if we could propagate events between containers and admin-server that would inform about any changes in the system. We could then use those to notify connected UI clients.;3
XD-2030;As a temporary work around to fix XD-1935 make producible media type to 'application/json' for Job executions GET request endpoints.;1
XD-2044;As a user I'd like to have the option to use the _SFTP_ source module so that I can access transfer and mange files over any reliable data streams.    *Reference:*  [Spring Integration SFTP Adapter|http://docs.spring.io/spring-integration/reference/html/sftp.html]    Need to consider the infrastructure for testing.;2
XD-2055;As a user I should be able to leverage native _ElasticSearch_ sink so that I can aggregate search and analyze data insights in real-time.;5
XD-2088;As a developer I'd like to have the option of extending the Trigger abstraction so that I can implement my own trigger.;5
XD-2090;As a user I'd like to have guidance to create custom modules so that I can align the development practices with recommended approach.     11/20: Update: Scope of this task is to create an example to demonstrate and document the capability.;1
XD-2103;As a user I'd like to have the option to write into _Kafka_ sink so that I can publish mass data into Kafka broker.;5
XD-2104;As a result of fixing XD-2015 we still cannot execute:  {code} grunt test:e2e {code}  Basically running the tests AND the server together in one process fails. We see the following error: *Fatal error: socket hang up*.  If we separate the protractor execution into 2 separate steps the tests pass:  {code} grunt serve (one console window) grunt protractor:run (second console window) {code}  In the *grunt serve* window you can still observe *Fatal error: socket hang up* being printed out but the tests execute successfully.;5
XD-2106;As a user I'd like to have the ability to visually explore XD's cluster view so that I'm aware where the components are deployed and how they are connected within the topology.;2
XD-2119;As a user I'd like to have the option to enable HTTPS so that I can access XD's Admin server [endpoints|https://github.com/spring-projects/spring-xd/wiki/REST-API#xd-resources] over secured communication.    Technical Implementation:    This functionality is available in Spring Boot 1.2.0 M1 and has been backported into the 1.1.x branch to be released under Spring 1.1.7.  We can test against 1.1.7 SNAPSHOT.    Working through the way to update the build file to pick up a new version of boot is a bit tricky :(;1
XD-2120;As a user I'd like to have the option to provide file based security configurations so that I can access the endpoints in a secured manner.    Ideally all the listed *endpoints* (http://localhost:9393/) needs to be encapsulated within file based security layer.    Reference:  [Securing Web App|https://spring.io/guides/gs/securing-web/];4
XD-2121;As a user I'd like to have the option to provide LDAP based security configurations so that I can access the endpoints in a secured manner.    Ideally all the listed *endpoints* (http://localhost:9393/) needs to be encapsulated within LDAP based security layer.    Reference:  [Authentication using LDAP|https://spring.io/guides/gs/authenticating-ldap/];5
XD-2122;As a user I'd like to have the option to configure default access control for endpoints so that I can grant access by _Admin_ or _Viewer_ roles.;5
XD-2123;As a user I'd like to have the option of _kerberized_ HDFS sink so that I can leverage Kerberos (open source distributed authentication system) for secured data writes into Hadoop.;3
XD-2124;As a user I'd like to have the ability to mass-ingest data from various database systems so that I'm not restricted with the current approach (_jdbchdfs_) that is dependent on JDBC drivers.     *Spike Scope:*  * Identify integration options  * Collaborate to determine the design  * Document outcome (design specs);4
XD-2125;As a user I would like to have an option to write data into HBase sink so that I can perform random realtime read/write access on Big Data.;5
XD-2126;As a user I'd like to have the option to write into _File Roll_ sink so that I can store events on the local file system.;5
XD-2127;As a user I'd like to have the option of _JMX_ source module so that I can publish/subscribe to JMX notifications.  *Reference:* [Sprint Integration JMX Support|http://docs.spring.io/spring-integration/reference/html/system-management-chapter.html#jmx];3
