issuekey;doc_clean;adj_storypoint
XD-1695;As a user I'd like to have the option to provide security configurations so that I can access REST endpoints in a secured manner.     Ideally all the listed [REST|https://github.com/spring-projects/spring-xd/wiki/REST-API#xd-resources] endpoints needs to be wrapped within a security layer.     *Scope of this spike:*    * Research Spring Security and Spring Boot and the OOTB features   * Design considerations and approach for XD  * Developer experience  ** How users will be configuring security credentials?  ** How DSL shell will be handled?  ** How Admin UI will be handled?;8
XD-1746;As a developer I'd like to have an OOTB MVC-aware HTTP module (with embedded tomcat) so I can use this module to leverage spring-mvc and spring-security features instead of rewriting them within the existing HTTP source module.   * Adds richer support for content-type in the HTTP Source module. See [~jbrisbin] comments: https://github.com/spring-projects/spring-xd/pull/879.  * Adds full header mapping in the source (see comments)  * See SO request: http://stackoverflow.com/questions/29353471/spring-xd-as-a-rest-endpoint;8
XD-2055;As a user I should be able to leverage native _ElasticSearch_ sink so that I can aggregate search and analyze data insights in real-time.;8
XD-2088;As a developer I'd like to have the option of extending the Trigger abstraction so that I can implement my own trigger.;8
XD-2103;As a user I'd like to have the option to write into _Kafka_ sink so that I can publish mass data into Kafka broker.;8
XD-2104;As a result of fixing XD-2015 we still cannot execute:  {code} grunt test:e2e {code}  Basically running the tests AND the server together in one process fails. We see the following error: *Fatal error: socket hang up*.  If we separate the protractor execution into 2 separate steps the tests pass:  {code} grunt serve (one console window) grunt protractor:run (second console window) {code}  In the *grunt serve* window you can still observe *Fatal error: socket hang up* being printed out but the tests execute successfully.;8
XD-2121;As a user I'd like to have the option to provide LDAP based security configurations so that I can access the endpoints in a secured manner.    Ideally all the listed *endpoints* (http://localhost:9393/) needs to be encapsulated within LDAP based security layer.    Reference:  [Authentication using LDAP|https://spring.io/guides/gs/authenticating-ldap/];8
XD-2122;As a user I'd like to have the option to configure default access control for endpoints so that I can grant access by _Admin_ or _Viewer_ roles.;8
XD-2125;As a user I would like to have an option to write data into HBase sink so that I can perform random realtime read/write access on Big Data.;8
XD-2126;As a user I'd like to have the option to write into _File Roll_ sink so that I can store events on the local file system.;8
XD-2135;"As a user I'd like to have the option to explicitly define/configure ""error channel"" so that I can stage and route the errors/exceptions through the dedicated channel and continue ingestion.  *Scenario:* * 'http' source ingest  * failure at either source processor or sink module * regardless of whether it is a custom module or not traverse through the exception to propagate the actual _Caused by:..._ stage the error as payload and route it to the error channel  *Example Configuration:* * error channel definition similar to ""topic.errors.stream.module"" * configure custom exception similar to ""catch=**Exception"" * exception hierarchy ** GlobalException ** DefaultException ** ModuleSpecificException";8
XD-2154;As a user I'd like to have a REST API to point and push an archive that includes custom module definitions and configurations so that I don't have to manually move and set it up.    *Scope of this spike:*  * Assess customer requirement brainstorm and document options  * Socialize with the team to collect feedback  * Identify phases  * Create new stories;8
XD-2159;"As a user I need a ""production-ready' Docker Image so that I can use that as a baseline to deploy XD with the following setup.  * Ubuntu OS * Full XD Jar * Java 7.x";8
XD-2163;As a user I need the ability to configure Docker XD Containers so that I can link to external services such as _Rabbit Redis Zookeeper Hadoop Mongo etc_.  Includes pointers to: * Linking/binding attributes * Environment variables;8
XD-2164;As a user I want to configure Docker XD Containers using Service Discovery so that I can have tools to manage how processes and services in a cluster can find and talk to one another.;8
XD-2165;As a user I need to have the ability to create docker images via CI build so that I can build all the components/configurations I need into a Docker image test it and deploy the image to various environments.;8
XD-2166;As a user I need a document covering our recommendations for deploying a XD cluster using Mesos with the Marathon Framework.;8
XD-2178;As a user I'd like to have the option to supply data partitioning strategy so that I can parallelize ingest of data from RDBMS to HDFS.;8
XD-2205;As a user I'd like to have a _Python_ processor so that I can efficiently perform data computations and statistical analysis.     Investigate the right approach (native or via stdin/stdout) that fits Spring XD model.    [Integrate Java and Python|https://wiki.python.org/moin/IntegratingPythonWithOtherLanguages#Java];8
XD-2206;As a user I'd like to have a _R_ processor so I can efficiently perform data computations and statistical analysis in the context of streaming pipeline.   Investigate the right approach that fits Spring XD model.  *R Java Libraries* [rJava|http://rforge.net/rJava/] [Renjin|http://www.renjin.org/];8
XD-2218;As a user I'd like to define security definitions so that I can configure entity (REST API) specific group/role access policies.;8
XD-2219;As a user I'd like to have the ability to configure ACLs so that I can restrict access to resources accessed via DSL Shell.  *Examples:* * Who can create streams? * Who can destroy the streams? * Who can view the streams? ??(defaults to all)??;8
XD-2220;As a user I'd like to have the ability to configure ACLs so that I can restrict access to resources accessed via Admin UI.    *Examples:*  * Who can create streams?  * Who can destroy the streams?  * Who can view the streams? ??(defaults to all)??;8
XD-2288;As a user I'd like to have the ability to access the random port (generated by tomcat) of the admin server (via _xd-shell_) so that I can point to the server and continue my interactions.   *Spike Details:* * Research whether connecting _xd-shell_ directly to ZK is a good approach or have a LB in-charge for the interaction. * How about something other than a pointer to a ZK directory in the shell for folks to experiment a bit before getting a LB involved?  *Note:* On some hadoop/hdfs setups access to zk is mandatory from hdfs client libs. There are some HA and federation setups which would anyway require xd shell to get access to zk if fs shell commands are used.;8
XD-2295;As a user I'd like to stream ingest audio and video data so that I can apply predictive analytics algorithms for facial detection.  *Spike scope:* * Research the feasibility of implementing [Motion-JPEG|http://en.wikipedia.org/wiki/Motion_JPEG] * Design specs on Motion-JPEG format  *Note:* [opencv|http://docs.opencv.org/trunk/doc/py_tutorials/py_objdetect/py_face_detection/py_face_detection.html] although having OOTB support it is not platform compatible.;8
XD-2304;As a user I'd like to use Kafka source through simple consumer API (as opposed to high-level) so that I can gain full control to offsets and partition assignment deterministically.    *Spike scope*:  - Study simple consumer API functionality  - Document findings approach and next steps;8
XD-2306;As a user I'd like to push the custom module (built as uber-jar) via a REST API so that I can install the custom module in cluster.;8
XD-2308;As a user I'd like to have a sample app (GitHub project) so that I can use it as a reference while provisioning Spring XD cluster with Kafka.    Consider:  * Kafka as message bus  * Kafka as source;8
XD-2311;As a user I'd like to have a _generator_ source module so that I can create a number of messages of a specified size (similar to Rabbit's PerfTest utility).  Example: generator --numMsgs 10000 --msgSize 1024 --numThreads 1;8
XD-2312;As a user I'd like to have a _perf-meter_ sink that will collect and push metrics to the standard container log file.    Example: perf-meter --numMsgs 1000  Will write to the container log a timestamp message count and message rate every 1000 messages.  The message rate is the value since the last log event.  Default values are those specified above.;8
XD-2313;As a user I'd like to create a stream such as _generator | perf-meter_ so that I can ingest 1M messages of 1000 bytes and one thread using XD's 'singlenode' container and measure performance characteristics.;8
XD-2333;As a PM I'd like to have test coverage for both Kafka source and sink modules so that we can assert its functionality as part of the CI builds.;8
XD-2358;As a user I want to be able to control the starting offset of the Kafka source when a stream is deployed so that I can replay a topic if necessary.    Note:  - starting offset is only considered when the stream is deployed  - progress made by modules must survive their crash for a running stream  - undeploying and redeploying a stream with a specific start offset will cause the stream to read again from the start     TBD: what happens when streams are undeployed/redeployed - where do they resume from?;8
XD-2359;As a user I want to be able to control the partition allocation for the Kafka source modules when a stream is deployed so that I can colocate with other data sources.;8
XD-2360;As a user I want Spring XD to pre-allocate a set of partitions between the Kafka source modules when a stream is deployed so that deployment is simpler and rebalancing doesn’t take place.;8
XD-2361;As a user I want Spring XD’s message bus to be able to pre-allocate partitions between nodes when a stream is deployed so that rebalancing doesn’t happen when a container crashes and/or it’s redeployed.;8
XD-2368;As a continuation we would like to further investigate Spark develop POC and identify the best appropriate design and implementation for XD.;8
XD-2375;As a user I'd like to have a _reactor-stream_ processor module so that I can ingest data using XD source modules and process them as time-window operations.     *Example 1:*  http | reactor-stream --timeWindow=10s --field=payload.sensorData --expressions=minavg    This would give you 10 second time window of the min and avg values.    *Example 2:*  Reactor as a module    *Example 3:*  Integration with Spark streaming and reactor;8
XD-2382;As a developer I'd like to setup a performance testing infrastructure (rackspace) so I can start benching Kafka baselines and continue with XD use-cases.;8
XD-2388;As a user I'd like to have the custom module (built as uber-jar) hosted in HDFS so that I can deploy the module to newly arriving containers.;8
XD-2398;As a user I should be able to leverage native _WebSocket_ sink so that I can take the advantage of full-duplex communications channels over a single TCP connection.;8
XD-2475;As a user I'd like to have the option to setup _batching_ so that I can ingest data in batches as opposed to payload-at-a-time.;8
XD-2477;As a user I'd like to have the option to _stop_ an existing Sqoop job so that I can clean-up resources at the time of completion.;8
XD-2511;As a user I'd like to have a separate _YML_ file to list the deployment manifest properties so that I don't have to include as part of the stream definition.;8
XD-2514;As a user I'd like to have the option of _compression_ for both Rabbit _source_ and _sink_ modules so that can further enhance the performance characteristics.;8
XD-2538;As a user I'd like to have an option to disable DB requirement so that I can setup to use DIRT runtime when stream processing is the only requirement.;8
XD-2542;As a user I'd like to have a flexible RxJava module so that it can as a processor.;8
XD-2543;As a user I'd like to have the option to define access control list (ACLs) so that I can define access controls to the resource by 'each user' and what the privileges are for that 'resource'.    *Spike Scope:*  ** Review customer use cases and come up with design specs  ** Identify the best approach that fits XD runtime  ** Identify scope for DSL and UI   ** Document next steps and phases;8
XD-2548;As a performance tester I'd like to investigate why there's high CPU startup time for both admin and container servers. Perhaps profiling would assist isolating the bottlenecks.     *Scope:*  * Identify the bottlenecks  * Document reasons  * List pros/cons;8
XD-2566;As a developer I'd like to have acceptance test coverage for XD + YARN on EC2 so that I can verify simple XD features running on YARN on every build cycle.;8
XD-2615;"As a tester I'd like to add test coverage for ""complex objects"" such protocol buffers any object with nested variables or a tree of objects so that I can evaluate and document the performance characteristics.";8
XD-2664;As a developer I'd like to build _Spark Streaming_ as data processors in XD so that we can demonstrate some of the capabilities.    *Implement using:*  * Java / Java Lambdas  * Scala;8
XD-2672;As a scala developer someone could easily deploy the spark streaming module developed using scala.;8
XD-2701;As a developer I'd like to build _Spark_ batch job sample so that we can demonstrate some of the distributed data computation capabilities.;8
XD-2702;As a developer I'd like to build data pipeline using _Kafka_ as as message bus in XD so that we can demonstrate some of the capabilities.  *Use case to consider:* * Log aggregation and analysis * Lambda architecture ** how to avoid code duplication ** how to eliminate tight coupling of business logic ** how Kafka can be used for reliable reprocessing;8
XD-2703;As a developer I'd like to build batch sample using _Sqoop_ so that we can demonstrate some of the capabilities.  *Use cases to consider:* * JDBC to HDFS * HDFS to JDBC;8
XD-2704;As a consequence   * change gradle script regarding generation of documentation  * remove pushGeneratedDocs task etc  * remove link rewriting that is no longer needed;8
XD-2713;As a field engineer I'd like to have a comparison of Storm examples in Spring XD so that it is easy to relate from implementation standpoint.;8
XD-2714;As a field engineer I'd like to have a comparison of Spark Streaming examples in Spring XD so that it is easy to relate from implementation standpoint.;8
XD-2715;As a PM I'd like to have the Smart Grid demo (from s1-2014) ported into Spring XD samples repo.;8
XD-2716;As a developer I'd like to create a example to demonstrate JDBC to HDFS data movement.;8
XD-2724;As a user I'd like to have the option of editing the deployed/undeployed stream so that I don't have to destroy to just change any deployment property.;8
XD-2734;As a field engineer I'd like to have reference architectures built on Spring XD so that I can use that as reference building POCs. The scope is to get the raw domain specific ideas captured as first step.;8
XD-2737;"As a user I'd like to have an optional _trace_ as inline deployment properties for _stream_ so that I can declare which _module_ in the stream needs to be traced for logging or notifications. This gives the flexibility to track the stage progress between individual modules.  *Example:*  {code:xml} xd:> stream create foo ""http | log""  xd:> stream deploy foo --properties ""module.http.tracemodule.log.trace""  (or)  xd:> stream deploy foo --properties ""module.*.trace"" {code}  Wildcard wiretap config: http://docs.spring.io/spring-integration/reference/html/messaging-channels-section.html#channel-global-wiretap";8
XD-2738;"As a user I'd like to have an optional  arbitrary ""side channels"" created so that when creating a module channels other than the primary stream channels (input output) could be added to the bus (i.e. creating a tap channel *within* a flow). The optional ""side channels"" can be used to trace/track module progress.";8
XD-2742;As a developer I'd like to study the taxi trips based on a stream of trip reports from New York City so that I can evaluate event-based systems in the context of real-time analytics using Spring XD.    [Challenge Details|http://www.debs2015.org/call-grand-challenge.html];8
XD-2747;As a developer I'd like to benchmark Rabbit performance so that I can use the results as reference to setup XD cluster.;8
XD-2766;As a user I'd like to have the description for each of the modules so that I can use it to understand the module purpose and it's capabilities (presumably what is captured in javadoc for the module definition).;8
XD-2776;As a developer I'd like to bench Kafka as message bus using in-built perf-testing producer/consumer utilities so that I can use that as a foundation to build XD use-cases and measure performance.     I'd like to reproduce baseline performance metrics as identified by the Kafka [engineering team|https://engineering.linkedin.com/kafka/benchmarking-apache-kafka-2-million-writes-second-three-cheap-machines].;8
XD-2793;As a developer I'd like to fix the offset management with Kafka _source_ module so that I can efficiently perform fetch operation from the given offsets.;8
XD-2795;As a developer I'd like to measure performance numbers for a simple stream so that I can characterize the overall throughput.;8
XD-2796;As a PM I'd like to have a static _gh_pages_ to organize the collateral such as samples tutorials links perf. benchmarks and ref. architectures so that it's easy for anyone to quickly get up and running on XD.;8
XD-2802;As a developer I'd like to migrate the wiki to project repo so that it can be tagged with the code and versioned etc.;8
XD-2835;As a developer I'd like to continue XD-on-Lattice/Diego PoC and will be focused on the design of a pluggable SPI so it is more generally applicable than Lattice with the Receptor API being just one implementation option.;8
XD-2839;As a developer I'd like to host/read Python script (file) from HDFS so I can use the shell processor in XD (on CF) to delegate data science functionality to Py runtime and receive the feedback back in XD.;8
XD-2840;As a developer I'd like to rebalance partitions as we scale the containers so I don't have to bring down the running stream/job to reestablish dynamic partitions.;8
XD-2844;As a user I'd like to have the OOTB _gpfdist_ sink module so I can use this module to do ultra fast data movement from various sources into GPDB/HAWQ.;8
XD-2857;As a developer I'd like to remove Hadoop dependencies from root classpath so we don't have to incur the penalty of classloading unnecessary libraries at the startup time.    The goal is to at least try and decouple for situations when HDFS is not used for module registry.;8
XD-2877;As a pre-requisite for XD-2835 and a continuation of XD-2671 split apart the concepts of repository and deployment. This will affect the {{ResourceDeployer}} interface and the classes that implement it.;8
XD-2890;As a user I'd like to have the option to read the file line by line so I get the optional OOTB optimum file reading experience.;8
XD-2897;As a user I'd like to have the OOTB module to consume database changes as event streams so I can incrementally synchronize with real-time DB updates with various destinations such as Brokers Hadoop DB etc.;8
XD-2901;As a developer I'd like to deploy a stream in the same container so all modules are colocated within the container. Perhaps also consider building leader election within modules in order to automatically failover the application (stream) from one container to another.;8
XD-2911;As a developer I'd like to bench test cases around {{TupleBuilder}} so I can identify the bottlenecks and tune for performance optimizations.;8
XD-2913;As a developer I'd like to have a simplified UX around parameters for GPDB so I don't have to escape each parameter. The scope is also to test the Sqoop job with SQLServer and GPDB to identify the UX differences.;8
XD-2914;"As a developer I'd like to migrate module deployment from the ""repository"" abstraction (used for stream/job definitions) so I can create it as a pluggable runtime SPI.";8
XD-2915;As a developer I'd like to build isolated Boot-based {{ModuleRunner}} for use in container-managed environments so I can run XD without the hard requirement for running _xd-containers_.;8
XD-2916;As a developer I'd like to create a [java client|https://github.com/markfisher/receptor-client] for Receptor so I can interact with Diego runtime via Receptor API calls from XD.;8
XD-2917;As a developer I'd like to refactor stream/job definition repository so I can decouple from module deployment concerns.;8
XD-2958;As a developer I'd like to upgrade to Kafka 0.8.2 so I can leverage the latest features in order to test the performance characteristics.;8
