id;x_test;y_test;y_pred;explanations;meaningfulness;acceptability;faithfulness;explanation_accuracy_scores;explanation_accuracy_decisions;okd;similarity_threshold;adherence_to_knowledge_limits
0;Stream Destroy fails if stream deploy failed (From Eric) Deploying using the following stream fails (probably because of issues around quoting): `stream create foo --definition time | filter --expression=payload.contains('0') | log --deploy` When you try to destroy the stream the destroy fails which shouldn't happen whether the stream was valid or not.;0;0;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts.  XUSP could not provide an answer as the amount of similarity between the given text Stream destroy fails if stream deploy failed (from eric) deploying using the following stream fails (probably because of issues around quoting): `stream create foo --definition time | filter --expression=payloadcontains('0') | log --deploy` when you try to destroy the stream the destroy fails which shouldn't happen whether the stream was valid or not and the most similar text Taps avoid transport hop taps currently source modules simply bridge tapped modules tap topic directly conversion first tap modules input channel note - ensure destroy works currently tap destroyed simple fact module longer module well need special handling tap adapter does not exceed the minimum threshold of 75%.;0.02;8.62;1.0;8.33;1;1;0;0
1;As a developer I'd like to port {{gauge}} module from XD to s-c-s repo so I can use it as {{sink}} module to build streaming pipeline.;2;4;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The prediction is that the text As a developer i'd like to port {{gauge}} module from xd to s-c-s repo so i can use it as {{sink}} module to build streaming pipeline is a user story, and is worth 5 story points. This was predicted because it is most similar to the text User id like refer pig sample use reference integrate pig jobs and similar to the text Scd user id like add rest support stream commands maneuver streaming pipeline backed and similar to the text Scd developer id like explore options bootstrap setup lattice based infrastructure scds bare metal deployment (and these texts are all user stories with a worth of 5 story points).;0.02;7.13;1.0;8.24;1;1;1;1
2;A a boot ConfigurationPropertiesModuleOptionsResolver This allows incremental adoption of boot @ConfigurationProperties as a way of being recognized as XD options;0;0;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The text was refused as it is not a user story. This was determined because the text A a boot configurationpropertiesmoduleoptionsresolver this allows incremental adoption of boot @configurationproperties as a way of being recognized as xd options was most similar to the text Container remove shared module context separate context main container context becomes shared context modules and similar to the text Add ssl attachments mail sink add ssl attachments mail sink module see and similar to the text User required specify control channel addition user does specify rabbit control channel story allow user specify rabbit control channel (and these texts are not user stories).;0.04;2.0;1.0;1.67;0;1;1;1
3;Add install script for Redis This assumes the redis source tar is available under $rootDir/redis/redis-2.6.13.tar.gz The install script does the following: - Check the platform OS & arch - unzip the tar compile the sources;0;3;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The prediction is that the text Add install script for redis this assumes the redis source tar is available under $rootdir/redis/redis-2613targz the install script does the following: - check the platform os & arch - unzip the tar compile the sources is a user story, and is worth 3 story points. This was predicted because it is most similar to the text Developer id like create new use measure highly serialized payload measure performance differences and similar to the text User id like option track history get visibility stream name module name etc added part message header and similar to the text Performance tester id like rerun baseline benchmarks compression rabbit compare results performance snapshots (and these texts are all user stories with a worth of 3 story points).;0.01;2.03;1.0;1.67;0;0;1;0
4;As a s-c-s-m developer I'd like to move {{jdbc}} module from XD to s-c-s repo so I can use it as {{sink}} to build streaming pipeline. See also XD-2250;4;4;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The prediction is that the text As a s-c-s-m developer i'd like to move {{jdbc}} module from xd to s-c-s repo so i can use it as {{sink}} to build streaming pipeline see also xd-2250 is a user story, and is worth 5 story points. This was predicted because it is most similar to the text Developer id like update installed spring cluster multiple instances servers setup ha and similar to the text Developer id like continue poc identify scope risks overall design spi and similar to the text Qa id like include acceptance test coverage shell sink module validate functionality part every ci build (and these texts are all user stories with a worth of 5 story points).;0.07;4.48;1.0;7.9;1;1;1;1
5;As a s-c-d developer I'd like to move {{rabbit}} module from XD to s-c-s repo so I can use it as {{sink}} to build streaming pipeline.;2;5;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The prediction is that the text As a s-c-d developer i'd like to move {{rabbit}} module from xd to s-c-s repo so i can use it as {{sink}} to build streaming pipeline is a user story, and is worth 8 story points. This was predicted because it is most similar to the text User id like option write file roll sink store events local file system and similar to the text Field engineer id like comparison storm examples spring easy relate implementation standpoint and similar to the text Pm id like smart grid demo ported spring samples (and these texts are all user stories with a worth of 8 story points).;0.02;5.83;1.0;8.33;1;1;1;1
6;XD should run offline Trying to run XD offline results in an error in redis.xml because the cloudfoundry schema file is missing. We need to add the cf-runtime jar to the classpath to resolve this.;0;5;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The prediction is that the text Xd should run offline trying to run xd offline results in an error in redisxml because the cloudfoundry schema file is missing we need to add the cf-runtime jar to the classpath to resolve this is a user story, and is worth 8 story points. This was predicted because it is most similar to the text Developer id like document performance benchmark results along infrastructure specifics publish blog use reference setting spring cluster and similar to the text Developer id like build isolated use environments run hard requirement running and similar to the text Scd developer id like add support different binder types modules channels plug rabbit kafka source sink read write respectively (and these texts are all user stories with a worth of 8 story points).;0.02;8.16;1.0;8.33;1;0;1;0
7;add file source and sink modules;0;0;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The text was refused as it is not a user story. This was determined because the text Add file source and sink modules was most similar to the text Ssl connections ignored and similar to the text Features bug fixes named channels and similar to the text Ssl support modules (and these texts are not user stories).;0.03;8.62;1.0;8.33;1;1;1;1
8;Wrong Jetty Util on classpath for WebHdfs We currently include jetty-util-6.1.26.jar but we need to add correct jar for different distributions - PHD uses jetty-util-7.6.10.v20130312.jar Need to check hadoop-hdfs dependencies for the distros and add jetty-util-* to the jar copy for each distro;0;0;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The text was refused as it is not a user story. This was determined because the text Wrong jetty util on classpath for webhdfs we currently include jetty-util-6126jar but we need to add correct jar for different distributions - phd uses jetty-util-7610v20130312jar need to check hadoop-hdfs dependencies for the distros and add jetty-util-* to the jar copy for each distro was most similar to the text Replace jps calls get pids container log replace execution jps retrieve pid containers acceptance tests and similar to the text Document ability use flows streams test document eg http file and similar to the text Revert specific support 12 thanks need specific class anymore (and these texts are not user stories).;0.02;2.2;1.0;1.67;0;1;1;1
9;Upgrade to Spring Boot 1.1 SNAPSHOT;0;0;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The text was refused as it is not a user story. This was determined because the text Upgrade to spring boot 11 snapshot was most similar to the text Support service pcf and similar to the text Update spring boot 10 ga and similar to the text Create documentation composed modules (and these texts are not user stories).;0.03;2.9;1.0;1.67;0;1;1;1
